TenantID,Activity,START_TS,END_TS,Cost
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T01:42:50.784685Z,2024-10-29T01:43:09.010669Z,0.6075328
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T01:49:47.520861Z,2024-10-29T01:50:25.040497Z,1.2506545333333332
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T02:22:29.779120Z,2024-10-29T02:22:47.772814Z,0.5997898
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T02:23:13.092557Z,2024-10-29T02:23:28.831399Z,0.5246280666666666
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T02:31:45.457153Z,2024-10-29T02:32:56.786988Z,2.377661166666667
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T02:34:16.016638Z,2024-10-29T02:34:28.242407Z,0.4075256333333333
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T02:34:52.915284Z,2024-10-29T02:35:10.962317Z,0.6015677666666667
0,UNAUTHORIZED PRESENCE,2024-10-29T02:50:57.508775Z,2024-10-29T02:55:42.817963Z,9.510306266666667
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T08:56:23.391063Z,2024-10-29T08:56:26.966346Z,0.11917610000000001
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:09:53.987420Z,2024-10-29T09:11:52.856472Z,3.9623017333333332
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:09:57.554868Z,2024-10-29T09:10:01.786017Z,0.1410383
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:11:56.589636Z,2024-10-29T09:22:38.581428Z,21.399726400000002
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:11:57.153879Z,2024-10-29T09:14:51.414484Z,5.808686833333334
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:14:55.300093Z,2024-10-29T09:15:01.317011Z,0.20056393333333336
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:17:26.190520Z,2024-10-29T09:17:33.787084Z,0.2532188
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:18:45.130320Z,2024-10-29T09:22:31.665377Z,7.551168566666666
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:26:39.539987Z,2024-10-29T09:26:44.305337Z,0.158845
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:29:54.645588Z,,
191e5448-d041-705d-ebc6-a988c3b6c271,Light,2024-10-29T09:29:57.512292Z,2024-10-29T09:31:06.006685Z,2.2831464333333336
